country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,377,364,389,398,440,445,525,553,569,630,634,630,620,618,618
Albania,,,,,,,,,,,,,,,,,,,,,2110,2190,2210,2180,2110,2100,2180,2120,2050,2190,1950,1380,1290,1420,1550,1760,1940,1740,1910,2180,2340,2550,2660,2830,3000,3190,3380,3610,3780,3930,4090,4210,4280,4330,4410,4520,4680,4870
Algeria,2470,2080,1630,2130,2200,2280,2110,2240,2410,2540,2690,2320,2880,2910,3040,3100,3270,3350,3550,3700,3620,3620,3730,3810,3900,3920,3830,3690,3550,3610,3550,3420,3400,3260,3160,3220,3300,3280,3400,3460,3540,3600,3750,3970,4090,4270,4280,4360,4390,4390,4460,4500,4560,4600,4680,4760,4830,4830
Andorra,,,,,,,,,,,42100,41900,43100,44200,44600,43200,43100,43000,42300,41000,40500,38900,37800,36800,35800,35100,34700,35200,35500,35800,35800,35300,34300,32800,32600,32900,34200,37300,38600,40000,40800,41400,42400,45500,47000,48800,49700,48700,43900,42000,39700,38200,38200,39100,40800,41800,43000,43900
Angola,,,,,,,,,,,,,,,,,,,,,2330,2150,2080,2090,2140,2150,2150,2170,2250,2190,2050,2010,1830,1350,1320,1480,1630,1700,1730,1720,1720,1740,1910,1920,2050,2390,2740,3260,3580,3540,3530,3540,3590,3710,3750,3730,3580,3480
Antigua and Barbuda,,,,,,,,,,,,,,,,,,4430,4600,4950,5360,5600,5640,6010,6710,7320,8270,8950,9520,10100,10400,10500,10500,10800,11200,10400,10800,11100,11300,11500,12000,11200,11100,11700,12200,12900,14300,15500,15300,13300,12200,11800,12100,11900,12400,12800,13300,13600
Argentina,5610,5820,5680,5290,5740,6250,6120,6230,6430,6950,7060,7340,7330,7410,7690,7560,7290,7680,7230,7850,8050,7480,7000,7150,7200,6550,6960,7050,6770,6170,5940,6600,7290,7610,7950,7630,7960,8500,8730,8340,8180,7740,6820,7340,7910,8520,9110,9830,10100,9430,10300,10800,10600,10700,10300,10500,10200,10400
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1600,949,886,956,1040,1120,1170,1270,1320,1400,1550,1760,2020,2240,2570,2930,3370,3630,3140,3220,3370,3610,3710,3830,3940,3930,4220
Australia,19400,19500,19300,20100,21000,21900,21900,23000,23700,24900,26100,26300,26800,27100,27500,27500,28000,28600,28600,29400,29900,30400,30900,29900,30900,32100,32800,33100,34400,35200,35900,35300,35000,36100,37100,38100,39100,40200,41600,43100,44300,44600,45800,46600,47900,48800,49400,51000,51800,51700,51900,52500,53600,54000,54500,55000,55700,55900
Austria,13000,13700,14000,14400,15200,15600,16400,16800,17400,18500,19600,20500,21600,22600,23400,23400,24500,25700,25700,27100,27600,27500,28000,28900,28900,29600,30300,30700,31600,32700,33900,34700,35000,34900,35600,36500,37300,38100,39400,40700,42000,42400,42900,43100,44000,44600,46000,47500,48100,46100,46900,48100,48200,47900,47900,47900,48100,49100
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,3050,2320,1760,1390,1220,1220,1280,1390,1480,1630,1780,1960,2160,2360,2950,3920,4850,5260,5640,5840,5770,5820,6080,6120,6120,5860,5810
Bahamas,17700,18700,19600,20600,21700,22900,23900,25100,26200,27500,25200,24900,23500,24800,20200,16900,17400,18600,20800,25600,26700,23700,24700,25100,28000,28800,28700,29100,29300,30700,29700,27900,26300,25900,26300,27000,27800,28100,29100,30800,31600,31900,32100,31000,30600,31000,31200,31000,29800,28000,28000,27700,28100,27600,27200,27200,26400,26500
Bahrain,,,,,,,,,,,,,,,,,,,,,21200,19300,17300,17900,18300,16900,16600,17700,18200,17700,17900,19400,20200,22200,21600,21900,22200,22300,22600,22800,23000,22400,22000,22100,22100,22100,21800,21800,21600,20800,20700,20500,20900,21800,22400,22400,22300,22100
Bangladesh,371,382,391,379,408,402,399,378,401,394,406,376,318,323,348,327,338,338,352,358,351,367,365,369,376,378,384,388,387,388,399,404,416,426,433,446,456,467,481,493,509,525,535,551,570,599,630,666,699,726,758,797,840,880,922,972,1030,1090
Barbados,,,,,,,,,,,,,,,10900,10600,11000,11300,11800,12700,13200,12900,12200,12300,12700,12800,13400,13700,14100,14600,14000,13400,12500,12600,13000,13200,13700,14300,14700,14700,15000,14600,14700,15000,15100,15700,16500,16800,16700,16000,16000,16000,16000,16000,15900,16000,16300,16500
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3060,2760,2550,2250,2020,2090,2340,2540,2640,2810,2960,3130,3370,3780,4160,4610,5030,5560,5580,6030,6380,6490,6560,6660,6400,6230,6380
Belgium,13200,13800,14500,15000,15900,16300,16700,17200,17900,19000,20100,20800,21900,23200,24200,23600,24900,25000,25700,26300,27400,27400,27500,27600,28300,28800,29300,29900,31200,32200,33100,33600,34000,33500,34500,35200,35700,37000,37600,38900,40200,40400,40900,41000,42300,43000,43800,45000,45000,43600,44400,44600,44300,44200,44700,45100,45500,46100
Belize,1070,1090,1120,1140,1160,1180,1200,1230,1280,1310,1340,1360,1470,1520,1700,1740,1720,1800,1920,2030,2290,2260,2200,2090,2070,2040,2070,2240,2390,2630,2850,3090,3400,3560,3490,3420,3360,3360,3350,3510,3840,3910,4000,4260,4340,4340,4420,4360,4390,4310,4340,4330,4400,4330,4410,4480,4370,4320
Benin,520,529,504,519,544,563,572,567,577,582,581,560,583,591,597,554,545,558,550,571,594,635,632,587,616,644,639,611,613,578,609,614,611,624,615,631,638,655,661,676,694,709,720,723,732,723,730,752,767,763,758,759,773,806,834,828,837,860
Bhutan,,,,,,,,,,,,,,,,,,,,,404,448,451,490,499,505,546,678,688,721,789,786,831,861,915,983,1030,1070,1100,1160,1200,1260,1360,1430,1470,1530,1600,1850,1900,1990,2180,2310,2390,2400,2500,2630,2800,2960
Bolivia,1300,1310,1350,1410,1450,1500,1570,1640,1410,1430,1390,1430,1520,1570,1580,1660,1700,1740,1740,1710,1650,1620,1520,1430,1390,1340,1280,1290,1300,1320,1360,1400,1400,1430,1470,1500,1540,1580,1630,1610,1620,1610,1620,1640,1680,1720,1770,1820,1900,1930,1980,2050,2120,2230,2320,2390,2460,2520
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,867,1670,2260,2610,2850,3000,3130,3290,3420,3630,3950,4160,4410,4660,4550,4610,4700,4710,4880,4990,5190,5380,5560
Botswana,391,406,422,436,453,466,482,495,531,593,672,819,1000,1170,1230,1290,1370,1480,1630,1750,1890,1990,2150,2350,2470,2560,2690,2920,3380,3720,3860,4030,4040,4010,4050,4240,4390,4640,4590,4940,4950,4890,5120,5280,5350,5510,5880,6270,6550,5950,6350,6610,6780,7410,7570,7310,7490,7520
Brazil,3430,3670,3750,3670,3690,3700,3750,3830,4150,4440,4710,5110,5590,6220,6620,6800,7290,7440,7510,7830,8340,7790,7650,7230,7440,7860,8320,8450,8280,8390,7990,7970,7800,8030,8320,8550,8600,8750,8650,8560,8780,8780,8920,8910,9310,9500,9760,10200,10700,10500,11200,11600,11700,11900,11900,11400,10900,10900
Brunei,,,,,,,,,,,,,,,45600,43900,50700,54200,55800,66000,59400,46200,46600,45500,44500,42600,40300,39900,39200,37700,37100,37200,37800,36900,37000,37700,37800,36400,35400,35700,35900,36200,36800,37200,36800,36300,37400,37000,35900,34800,35300,36100,35900,34600,33300,32700,31400,31400
Bulgaria,,,,,,,,,,,,,,,,,,,,,3220,3370,3440,3550,3660,3760,3920,4150,4600,4500,4160,3850,3610,3580,3660,3780,3830,3810,3970,3750,3960,4190,4530,4800,5150,5560,5990,6480,6910,6710,6840,7020,7060,7160,7300,7610,7970,8310
Burkina Faso,239,245,257,250,252,258,255,273,277,278,273,272,274,270,287,290,309,304,312,316,312,318,340,332,318,336,354,344,354,353,341,362,354,356,351,361,390,403,421,439,435,450,457,478,485,512,528,541,563,563,575,595,615,632,640,645,664,689
Burundi,214,181,194,198,206,210,214,238,231,223,265,269,249,263,258,257,272,297,287,284,280,306,295,298,291,316,317,324,331,326,329,338,334,307,290,263,239,233,241,235,228,227,231,221,225,219,223,226,230,230,231,234,236,239,243,227,218,213
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,321,342,351,355,362,398,431,454,475,507,550,613,669,726,764,753,786,828,874,923,973,1020,1080,1140
Cameroon,956,948,956,970,982,979,1000,870,903,924,929,937,937,961,1040,1120,1030,1140,1350,1390,1320,1500,1570,1620,1690,1770,1830,1740,1550,1480,1350,1260,1190,1060,1060,1070,1080,1110,1130,1150,1160,1180,1200,1220,1270,1260,1270,1300,1310,1300,1310,1330,1350,1390,1430,1470,1500,1500
Canada,17700,17900,18800,19400,20300,21300,22200,22500,23300,24200,24600,25300,26200,27600,28100,28100,29100,29800,30700,31500,31800,32500,31100,31500,33100,34300,34700,35700,36800,37000,36500,35200,35100,35600,36900,37600,37800,39000,40100,41900,43600,44000,44900,45200,46200,47200,48000,48600,48500,46500,47400,48500,48700,49400,50200,50300,50400,51300
Cape Verde,,,,,,,,,,,,,,,,,,,,,674,718,725,778,791,844,855,878,918,954,942,933,1010,1070,1240,1380,1500,1620,1790,1950,2180,2190,2260,2310,2510,2640,2810,3200,3380,3300,3310,3410,3400,3390,3370,3360,3450,3540
Central African Republic,602,621,587,573,573,567,560,574,569,597,599,594,583,583,608,597,616,625,617,587,546,522,545,486,517,523,530,493,491,490,469,455,414,404,413,431,404,416,426,431,412,422,428,398,414,410,422,434,436,438,446,458,476,300,303,315,326,335
Chad,696,692,715,690,660,651,627,621,607,636,634,606,599,536,549,586,591,593,579,446,411,406,418,472,470,557,519,491,549,557,517,544,569,464,495,485,479,489,505,484,463,497,519,573,738,835,812,811,809,816,897,868,914,935,967,963,875,823
Chile,3810,3920,3990,4130,4140,4090,4450,4510,4580,4660,4660,5000,4860,4540,4570,3910,4000,4350,4620,4930,5240,5500,4820,4510,4620,4730,4900,5130,5410,5850,5950,6310,6900,7250,7500,8050,8480,8990,9250,9100,9470,9670,9850,10100,10800,11200,11800,12300,12600,12300,12900,13500,14100,14600,14700,14900,15000,15100
China,192,141,132,142,164,187,202,185,173,197,228,238,241,254,254,272,263,279,308,327,348,361,388,424,481,539,578,635,696,714,731,788,889,1000,1120,1230,1340,1440,1540,1650,1770,1910,2070,2260,2470,2740,3070,3490,3810,4140,4560,4970,5340,5720,6110,6500,6890,7330
Colombia,2210,2260,2310,2310,2390,2390,2440,2470,2560,2650,2760,2850,3000,3130,3240,3240,3320,3380,3580,3690,3750,3750,3700,3680,3720,3750,3890,4010,4090,4150,4320,4340,4470,4500,4680,4840,4860,4950,4900,4630,4760,4770,4830,4950,5140,5310,5600,5910,6050,6080,6250,6590,6790,7050,7290,7450,7530,7600
Comoros,,,,,,,,,,,,,,,,,,,,,873,879,908,926,938,933,923,911,908,854,871,800,844,844,777,783,752,761,751,746,806,805,804,802,798,801,803,790,775,771,769,770,774,783,780,769,768,770
"Congo, Dem. Rep.",1040,903,1070,1090,1040,1020,1060,1020,1030,1100,1070,1100,1070,1130,1130,1050,965,945,869,849,845,843,818,810,834,816,832,832,812,777,702,620,533,444,411,401,386,356,342,320,290,276,276,283,293,301,307,315,324,323,334,345,358,375,398,411,408,409
"Congo, Rep.",1430,1510,1550,1450,1460,1470,1450,1440,1510,1580,1630,1700,1800,1880,1970,2060,2020,1790,1840,1970,2250,2570,3080,3170,3290,3160,2860,2790,2760,2760,2710,2700,2700,2600,2390,2420,2450,2370,2390,2260,2360,2390,2430,2380,2400,2500,2570,2450,2500,2600,2740,2750,2780,2810,2920,2930,2770,2580
Costa Rica,2860,2730,2850,2880,2900,3080,3210,3290,3460,3550,3710,3860,4070,4270,4400,4380,4510,4780,4950,5060,4970,4730,4260,4270,4420,4350,4480,4670,4730,4850,4910,4910,5230,5460,5560,5650,5590,5760,6020,6130,6230,6330,6430,6610,6790,6950,7350,7840,8100,7910,8200,8450,8750,8850,9070,9300,9580,9790
Cote d'Ivoire,1210,1280,1240,1370,1550,1440,1550,1560,1690,1780,1890,1980,1970,1990,1980,2040,2200,2260,2390,2340,1990,1980,1900,1750,1630,1640,1630,1570,1530,1520,1450,1400,1350,1300,1270,1310,1370,1380,1410,1400,1340,1310,1260,1220,1220,1220,1210,1210,1210,1220,1220,1140,1230,1310,1380,1470,1550,1630
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8480,9320,9770,10100,9900,10600,10900,11500,12100,12600,13100,13800,14500,14800,13700,13500,13900,13700,13600,13700,14100,14600,15200
Cuba,,,,,,,,,,,2250,2400,2470,2510,2500,2700,2820,3030,3210,3220,3050,3630,3940,4130,4440,4480,4450,4300,4410,4390,4230,3750,3290,2780,2790,2840,3050,3120,3110,3290,3470,3570,3610,3740,3950,4390,4910,5260,5480,5550,5680,5820,5990,6130,6180,6440,,
Cyprus,,,,,,,,,,,,,,,,7620,9240,10700,11500,12600,13200,13300,13900,14600,15600,16200,16600,17600,18900,20100,21200,20800,22100,21700,22600,24000,24000,24200,25200,26100,27300,28000,28600,29000,29900,30600,31400,32200,32700,31200,30800,30100,28800,27100,27000,27700,28400,29400
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,12400,12300,12300,12700,13500,14000,14000,13900,14200,14800,15300,15600,16100,16900,18000,19200,20200,20500,19400,19800,20100,19900,19800,20300,21400,21900,22800
Denmark,21100,22300,23300,23300,25300,26200,26700,27400,28300,30000,30500,31200,32300,33400,32900,32300,34100,34700,35300,36600,36400,36100,37500,38500,40100,41700,43700,43800,43700,44000,44600,45100,45800,45700,47900,49100,50300,51700,52600,54000,55900,56100,56200,56300,57600,58800,60900,61200,60500,57200,58000,58600,58500,58800,59400,60000,60700,61600
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,2520,2780,2250,2560,2860,2990,3090,3280,3350,3620,3920,4300,4310,4560,4590,4680,4740,4800,4900,5040,5140,5440,5500,5540,5570,5460,5860,6020,5990,6150,6530,6980,6890,6910,6870,6770,6690,6950,6740,6880,6560
Dominican Republic,1330,1250,1420,1460,1510,1280,1410,1410,1380,1480,1700,1830,1970,2170,2240,2290,2390,2440,2440,2490,2630,2680,2660,2720,2700,2580,2620,2830,2830,2890,2680,2660,2900,3050,3070,3190,3330,3560,3740,3900,4020,4050,4170,4050,4090,4410,4750,5030,5120,5100,5450,5550,5630,5830,6200,6560,6920,7150
Ecuador,2240,2220,2250,2270,2380,2420,2340,2380,2360,2390,2490,2570,2620,2900,3140,3390,3550,3510,3610,3650,3690,3800,3720,3620,3620,3670,3710,3610,3730,3680,3720,3790,3780,3770,3840,3850,3830,3920,3970,3710,3680,3760,3850,3890,4140,4290,4400,4420,4620,4570,4660,4940,5140,5310,5430,5350,5190,5270
Egypt,631,641,667,708,745,763,751,737,738,769,792,801,799,787,789,841,942,1040,1070,1110,1190,1210,1290,1350,1400,1450,1450,1440,1480,1510,1560,1540,1570,1590,1620,1660,1710,1770,1810,1890,1950,1980,1990,2020,2060,2110,2220,2330,2460,2520,2600,2590,2590,2590,2610,2670,2730,2790
El Salvador,,,,,,2370,2470,2530,2540,2560,2570,2600,2690,2750,2830,2850,2930,3060,3160,2970,2570,2270,2090,2100,2100,2080,2060,2080,2090,2090,2160,2160,2280,2380,2460,2550,2540,2590,2640,2680,2690,2690,2720,2750,2760,2820,2930,2970,3020,2940,2990,3090,3160,3220,3270,3330,3400,3460
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,646,646,613,595,559,595,554,558,555,533,508,487,635,682,769,872,1400,3360,4000,4830,5480,8600,9870,10800,14300,15900,16400,18100,20300,19700,17100,17500,18100,16600,16000,14000,12300,11500
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,432,526,540,585,622,621,606,572,603,601,566,556,554,536,532,471,481,482,514,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7310,7820,8840,9290,9190,10100,10800,11500,12500,13300,14700,16300,17600,16700,14300,14600,15800,16500,16900,17500,17700,18100,19000
Ethiopia,,,,,,,,,,,,,,,,,,,,,,228,224,235,221,190,202,223,217,209,207,186,164,179,178,183,199,199,187,191,197,207,204,194,214,233,251,272,294,311,341,370,391,421,453,487,511,550
Fiji,1770,1770,1780,1830,1850,1750,1710,1890,1990,2000,2210,2310,2430,2660,2670,2640,2660,2760,2760,3040,2930,3040,2780,2610,2760,2590,2770,2570,2590,2780,2930,2820,2960,2980,3090,3120,3240,3130,3140,3390,3320,3370,3470,3500,3680,3690,3730,3670,3670,3580,3650,3720,3740,3890,4080,4210,4200,4320
Finland,12200,13000,13300,13700,14300,15000,15300,15600,15800,17400,18400,18800,20100,21400,22000,22300,22300,22300,22900,24400,25700,25900,26500,27200,27900,28800,29500,30400,31900,33400,33500,31400,30100,29800,30800,32000,33100,35000,36800,38400,40500,41400,42000,42700,44300,45400,47000,49200,49400,45100,46200,47200,46300,45700,45200,45200,46000,47100
France,13000,13500,14200,14800,15500,16100,16800,17400,18000,19100,20100,21000,21700,22900,23700,23300,24100,24900,25800,26600,26900,27100,27600,27800,28100,28400,28900,29500,30700,31800,32500,32900,33200,32900,33500,34100,34400,35100,36200,37300,38500,38900,39100,39100,39900,40300,40900,41600,41500,40100,40600,41300,41200,41200,41400,41600,42000,42600
